,id,text,link,created_at,tweet_type,user.screen_name,user.name,user.id,user.friends,user.followers,user.verified,user.account_created_at,user.location,media.media_type,media.media_urls,geolocation
46900,902889890353823746,#HURRICANEHARVEY Rising floodwaters create dire situation in Jefferson County https://t.co/tMAZjJxY7r YOUR GULF COA… https://t.co/W1r2FPSAKN,http://twitter.com/Fox26Houston/statuses/902889890353823746,2017-08-30 13:44:59+00:00,original_tweet,fox26houston,FOX26Houston,17094323,5367,255534,True,2008-10-31T23:36:58.000Z,"Houston, Texas",photo,['http://pbs.twimg.com/media/DIe1kacUEAEXn8M.jpg'],
46901,902890093022760961,"Flood Emergencies in Port Arthur &amp; Beaumont, TX due to Harvey Flooding rain of 26""+ since last night.… https://t.co/OxEob9rTIJ",http://twitter.com/weatherchannel/statuses/902890093022760961,2017-08-30 13:45:47+00:00,original_tweet,weatherchannel,The Weather Channel,20998647,6333,2956231,True,2009-02-16T16:21:12.000Z,"Atlanta, GA",photo,['http://pbs.twimg.com/media/DIe1u8vVYAISbLK.jpg'],
49038,902891817972236289,"From @business, here are the many power outages caused by #Harvey.   Some homes could be without power for months.… https://t.co/2HEpicQiUI",http://twitter.com/TexasTribune/statuses/902891817972236289,2017-08-30 13:52:38+00:00,original_tweet,texastribune,Texas Tribune,44513878,60558,150685,True,2009-06-04T01:37:46.000Z,"Austin, Texas",photo,['http://pbs.twimg.com/media/DIe3PLDUMAQlz9-.jpg'],
49047,902893204562903041,Just a glimpse of the 100s of pieces of heavy equipment TxDOT has moved to Coastal Bend for Harvey response. Each t… https://t.co/GB0xSoEXOA,http://twitter.com/TxDOT_CRP/statuses/902893204562903041,2017-08-30 13:58:09+00:00,original_tweet,txdot_crp,TxDOT CRP PIO,33616818,122,2937,False,2009-04-20T18:48:11.000Z,"Corpus Christi, Texas",video,['https://video.twimg.com/ext_tw_video/902893114091700224/pu/vid/320x180/BFR9nMEEPM_qFerA.mp4'],
49048,902893290315501568,"In Beaumont, authorities found a shivering toddler clinging to the body of her drowned mother.… https://t.co/cH00mr1j94",http://twitter.com/TexasTribune/statuses/902893290315501568,2017-08-30 13:58:30+00:00,original_tweet,texastribune,Texas Tribune,44513878,60558,150685,True,2009-06-04T01:37:46.000Z,"Austin, Texas",photo,['http://pbs.twimg.com/media/DIe4oxcUIAEOaLH.jpg'],
74486,902894335271858176,Floods from #Harvey are going to sink home values in Houston. https://t.co/SmsZmXfdEs via @HoustonChron… https://t.co/5mhfpq5zvJ,http://twitter.com/TexasTribune/statuses/902894335271858176,2017-08-30 14:02:39+00:00,original_tweet,texastribune,Texas Tribune,44513878,60558,150685,True,2009-06-04T01:37:46.000Z,"Austin, Texas",photo,['http://pbs.twimg.com/media/DIe5k74UIAA9MHf.jpg'],
74490,902894778421047297,"This is the line at the @BakerRipley Shelter at @NRGParkFan -- these aren't the guests, they're the volunteers!… https://t.co/Q4RxY1CrOi",http://twitter.com/EdEmmett/statuses/902894778421047297,2017-08-30 14:04:24+00:00,original_tweet,edemmett,Official Ed Emmett,244783424,554,6251,False,2011-01-30T03:50:29.000Z,"Harris County, TX",photo,['http://pbs.twimg.com/media/DIe6AqMUIAILnoh.jpg'],
74489,902894823266541569,Update on flooding with #Harvey far ern TX/wrn LA from @NWSWPC https://t.co/oxjyk7wrT3 @NWSHouston @NWSLakeCharles… https://t.co/IObLAaB9Vv,http://twitter.com/NHC_Atlantic/statuses/902894823266541569,2017-08-30 14:04:35+00:00,original_tweet,nhc_atlantic,NHC Atlantic Ops,299798272,0,280378,True,2011-05-16T17:59:24.000Z,"Miami, FL",photo,['http://pbs.twimg.com/media/DIe5sM9UMAEbTvA.jpg'],
74493,902894945484152833,Most #Harvey flood victims are uninsured – though many of them might not know it. https://t.co/DYDlX8CUKs… https://t.co/DfXzKBICKz,http://twitter.com/weatherchannel/statuses/902894945484152833,2017-08-30 14:05:04+00:00,original_tweet,weatherchannel,The Weather Channel,20998647,6333,2956267,True,2009-02-16T16:21:12.000Z,"Atlanta, GA",photo,['http://pbs.twimg.com/media/DIe6KsrV4AAQ6Ow.jpg'],
74498,902895782969442304,"By Tuesday, at least 40,000 people had been displaced from their Galveston County homes. https://t.co/ZRWmHwP3LF vi… https://t.co/fmEJ6jq5rR",http://twitter.com/TexasTribune/statuses/902895782969442304,2017-08-30 14:08:24+00:00,original_tweet,texastribune,Texas Tribune,44513878,60558,150686,True,2009-06-04T01:37:46.000Z,"Austin, Texas",photo,['http://pbs.twimg.com/media/DIe66X9UwAEnoTb.jpg'],
