,Unnamed: 0,id,text,link,created_at,tweet_type,user.screen_name,user.name,user.id,user.friends,user.followers,user.verified,user.account_created_at,user.location,media.media_type,media.media_urls,geolocation,id.trunc,hrisk_img,relevant,forecast
52,52,901056381922533382,Dire language from Weather Service office in Corpus Christi regarding effects from #Harvey: https://t.co/0amm43GlGS https://t.co/haUimebmTG,http://twitter.com/capitalweather/statuses/901056381922533382,2017-08-25 12:19:16+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,961409,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DIEx-4qXoAAz8tI.jpg'],,901056381922533,yes,yes,yes
54,54,901075442106597377,"933a: Hurricane Harvey within range of radar. Unmistakable eye, & tightly wound bands around it. https://t.co/eOQhqimFsJ",http://twitter.com/capitalweather/statuses/901075442106597377,2017-08-25 13:35:01+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,961449,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",animated_gif,['https://video.twimg.com/tweet_video/DIFDVatXgAIa9Cz.mp4'],,901075442106597,yes,yes,no
56,56,901086946499362816,"Coastal Texas should know risk of ""compound flooding"" from days of storm surge & 15-25"" rain. Massive water buildup… https://t.co/MXT9wFljcJ",http://twitter.com/capitalweather/statuses/901086946499362816,2017-08-25 14:20:44+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,961497,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DIFNyC2WAAQe_oX.jpg'],,901086946499362,yes,yes,yes
59,59,901123004343758849,#Harvey has good chance to end longest recorded 'major' hurricane drought. But wasn't Sandy major? No- we explain:… https://t.co/teyLPQXG12,http://twitter.com/capitalweather/statuses/901123004343758849,2017-08-25 16:44:00+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,961566,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DIFuftPXkAEIH-z.jpg'],,901123004343758,yes,yes,no
60,60,901124771957682176,Live radar image from moments ago on P-3 #NOAA42. The crew will make multiple passes through the eye. Advisories at… https://t.co/Fhdf1Aeg3h,http://twitter.com/NOAA_HurrHunter/statuses/901124771957682176,2017-08-25 16:51:02+00:00,original_tweet,noaa_hurrhunter,NOAAHurricaneHunters,619247259,218,53278,True,2012-06-26T15:20:33.000Z,"Lakeland, FL",photo,['http://pbs.twimg.com/media/DIFwDjvXsAEGHXu.jpg'],,901124771957682,yes,yes,no
61,61,901126293537914881,#NOAA42 in the eye of #HurricaneHarvey now. Strong winds recorded in the eyewall. Advisories at… https://t.co/yxtZ5KpnUr,http://twitter.com/NOAA_HurrHunter/statuses/901126293537914881,2017-08-25 16:57:05+00:00,original_tweet,noaa_hurrhunter,NOAAHurricaneHunters,619247259,218,53293,True,2012-06-26T15:20:33.000Z,"Lakeland, FL",photo,['http://pbs.twimg.com/media/DIFxVfhWAAAyjCx.jpg'],,901126293537914,yes,yes,no
62,62,901132820638294016,Tropical-storm-force winds have reached Texas coast. Storm surge of 1-2 ft reported already. Updated #Harvey info:… https://t.co/k15v2cnztz,http://twitter.com/capitalweather/statuses/901132820638294016,2017-08-25 17:23:01+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,961584,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DIF3ZvVWsAEom4G.jpg'],,901132820638294,yes,yes,no
63,63,901135063911366657,"Scary, close-up @WeatherBell map of GFS model rainfall forecast for region around Houston. More on #Harvey:… https://t.co/1NPQu8VmO7",http://twitter.com/capitalweather/statuses/901135063911366657,2017-08-25 17:31:56+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,961588,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DIF5WmfXsAEGNtk.jpg'],,901135063911366,yes,yes,yes
64,64,901152291365019653,"Mind-boggling and extremely troubling: European model simulates as much as 50-60"" of rain from #Harvey:… https://t.co/pLLDy3bBu5",http://twitter.com/capitalweather/statuses/901152291365019653,2017-08-25 18:40:23+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,961630,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DIGJDJBXcAMzbGO.jpg'],,901152291365019,yes,yes,yes
65,65,901178332414443526,WP-3D Orion #NOAA42 making multiple passes through the eye of #HurricaneHarvey now. Advisories at… https://t.co/soSEqJCk5c,http://twitter.com/NOAA_HurrHunter/statuses/901178332414443526,2017-08-25 20:23:52+00:00,original_tweet,noaa_hurrhunter,NOAAHurricaneHunters,619247259,219,53842,True,2012-06-26T15:20:33.000Z,"Lakeland, FL",photo,['http://pbs.twimg.com/media/DIGg6WpW0AEuuxZ.jpg'],,901178332414443,yes,yes,no
