,Unnamed: 0,Unnamed: 0.1,id,text,link,created_at,tweet_type,user.screen_name,user.name,user.id,user.friends,user.followers,user.verified,user.account_created_at,user.location,media.media_type,media.media_urls,geolocation,id.trunc,hrisk_img,relevant,forecast,trop-out,cone,arrival,prob,surge,key-msg,ww,threat-impact,conv-out,meso-disc,rain-fore,rain-out,riv-flood,spag,text-img,model,evac,other-fore,other-non-fore,video,ww_exp,ww_cone,ww_md,official,unofficial,spanish
49,113,113,902188952655994880,"Still ANOTHER 8-17"" possible around Houston, perhaps up to 20"" in hardest it spots. Totals over 50"" poss. More:… https://t.co/eDNGhARbMC",http://twitter.com/capitalweather/statuses/902188952655994880,2017-08-28 15:19:42+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1331,964361,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DIU3yhcWAAQ3-xf.jpg'],,902188952655994,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no
50,114,114,902196264384782337,1148a: The rain in Houston is just relentless. https://t.co/z1VaLd2dhh,http://twitter.com/capitalweather/statuses/902196264384782337,2017-08-28 15:48:46+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1331,964376,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",animated_gif,['https://video.twimg.com/tweet_video/DIU-t8rVoAA3tmv.mp4'],,902196264384782,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no
51,116,116,902210052643311616,"As rainfall totals near 40"" in SE Texas, flash flood watch expanded into New Orleans where 5-10"" poss. More info:… https://t.co/9LBi2oCEnX",http://twitter.com/capitalweather/statuses/902210052643311616,2017-08-28 16:43:33+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1331,964403,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DIVLK0pXcAAS9e8.jpg'],,902210052643311,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no
52,117,117,902220298182938624,123p: No mercy. Continued moderate rain streaming over Houston. https://t.co/udU2aeDI0f,http://twitter.com/capitalweather/statuses/902220298182938624,2017-08-28 17:24:16+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1331,964416,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",animated_gif,['https://video.twimg.com/tweet_video/DIVUk1vW4AAG7mW.mp4'],,902220298182938,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no
53,118,118,902222247796121601,"Latest GFS model run still showing another 12-20"" for Houston and surrounding area thru late Thurs. #Harvey https://t.co/mhfxFlVMVz",http://twitter.com/capitalweather/statuses/902222247796121601,2017-08-28 17:32:01+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1331,964417,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DIVWRy8XcAIyuVN.jpg'],,902222247796121,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no
54,119,119,902249299366567936,"Visualization of observed rainfall, and track of #Harvey from @PostGraphics. Updated info on the storm:… https://t.co/zlOcKINOp4",http://twitter.com/capitalweather/statuses/902249299366567936,2017-08-28 19:19:30+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1331,964451,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DIVtzc_XkAIULOK.jpg'],,902249299366567,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,yes,no
56,121,121,902264574707150849,Fantastic animation from @PostGraphics showing the accumulation of rain in Southeast Texas over the past few days.… https://t.co/9aYDvrjGzm,http://twitter.com/capitalweather/statuses/902264574707150849,2017-08-28 20:20:12+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1331,964481,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",animated_gif,['https://video.twimg.com/tweet_video/DIV8v9jXoAAcIVW.mp4'],,902264574707150,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,no
57,122,122,902283768420909056,@FireChiefofHFD @FireChiefofHFD Salir para muchos no es necesario.NO MANEJEN en dirección opuesta.Es Extremadamente… https://t.co/xpzTw52FQg,http://twitter.com/cohoustonfire/statuses/902283768420909056,2017-08-28 21:36:28+00:00,original_tweet,cohoustonfire,Houston Fire Dept,88957094,290,20825,False,2009-11-10T16:00:10.000Z,"Houston, Texas",photo,['http://pbs.twimg.com/media/DIWOSQMV4AAvI4I.jpg'],"Houston, TX",902283768420909,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no
58,123,123,902293637098328064,"Another 10-20"" predicted in SE Texas, including Houston, w/ ""devastating consequences on rescue & recovery efforts.… https://t.co/jSCLXc11tt",http://twitter.com/capitalweather/statuses/902293637098328064,2017-08-28 22:15:41+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1331,964519,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DIWW7CjWsAEEH83.jpg'],,902293637098328,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
59,124,124,902304526400724994,"657p: Endless stream of rain, heavy at times, flowing into Houston. Not over by a long shot. https://t.co/wemEQ11Olk",http://twitter.com/capitalweather/statuses/902304526400724994,2017-08-28 22:58:57+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1331,964525,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",animated_gif,['https://video.twimg.com/tweet_video/DIWhLi2XkAA07bX.mp4'],,902304526400724,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no
60,126,126,902344265413615616,934p: Hideous and heinous plume of heavy rain parked over Houston. https://t.co/EZD6PuHHxE,http://twitter.com/capitalweather/statuses/902344265413615616,2017-08-29 01:36:52+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1331,964620,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",animated_gif,['https://video.twimg.com/tweet_video/DIXFUq6XkAEU7JS.mp4'],,902344265413615,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no
62,129,129,902523509519388674,"928a: Rain still pushing through Houston, heaviest on east side of town. https://t.co/OO3sLR2vL8",http://twitter.com/capitalweather/statuses/902523509519388674,2017-08-29 13:29:07+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1331,964986,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",animated_gif,['https://video.twimg.com/tweet_video/DIZoWFqW4AER5kB.mp4'],,902523509519388,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no
64,133,133,902594902755860480,212p: Rains in Houston have slowed. Galveston to Port Arthur getting hammered. https://t.co/keAsackFv4,http://twitter.com/capitalweather/statuses/902594902755860480,2017-08-29 18:12:48+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1331,965161,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",animated_gif,['https://video.twimg.com/tweet_video/DIapRu2UMAAmDcS.mp4'],,902594902755860,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no
65,135,135,902608099919454209,"Happy to share this. NWS now forecasting just a few more inches of new rain, maybe less, around Houston. More info:… https://t.co/Br2X0FXGlv",http://twitter.com/capitalweather/statuses/902608099919454209,2017-08-29 19:05:15+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1331,965185,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DIa1C25V4AE11qI.jpg'],,902608099919454,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
67,143,143,902718168795402240,"While Houston mostly cleared of rain, flash flood emergency around Beaumont/Port Arthur. 3""/hour rain rates. More:… https://t.co/VXdaw0VqZb",http://twitter.com/capitalweather/statuses/902718168795402240,2017-08-30 02:22:37+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1331,965452,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DIcZWo2XkAEzl4R.jpg'],,902718168795402,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no
68,145,145,902885825607815168,"Incredible: Beaumont-Port Arthur logged record 26"" rain in 24 hours, storm total over 45"". Devastating flooding.… https://t.co/HxLoZrob9o",http://twitter.com/capitalweather/statuses/902885825607815168,2017-08-30 13:28:50+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1331,965697,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DIexw3XVYAASLeC.jpg'],,902885825607815,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no
69,146,146,902891820333617152,"Harvey may still produce a ribbon of 4-8""+ from W & N Louisiana into W Tenn and Ky. Not over. More info:… https://t.co/OFamrnGsKQ",http://twitter.com/capitalweather/statuses/902891820333617152,2017-08-30 13:52:39+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1331,965713,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DIe3RucVAAECCmL.jpg'],,902891820333617,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
71,152,152,903303058121261056,As if it all hasn't been enough -- tornado warnings being issued northern MS and around the Memphis region. #harvey https://t.co/kc5Ia2WP3k,http://twitter.com/capitalweather/statuses/903303058121261056,2017-08-31 17:06:46+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1332,966476,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DIktVz-XkAEWAK3.jpg'],,903303058121261,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no
73,158,158,903625085420007430,"Will be dry in DMV for a few hours, but remnants of #Harvey arrive later this afternoon. ☔️ https://t.co/mjBNRgd6mW",http://twitter.com/capitalweather/statuses/903625085420007430,2017-09-01 14:26:23+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1333,966988,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DIpSOcnXUAEMbeU.jpg'],,903625085420007,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no
