,id,text,link,created_at,tweet_type,user.screen_name,user.name,user.id,user.friends,user.followers,user.verified,user.account_created_at,user.location,media.media_type,media.media_urls,geolocation,id.trunc
17873,900816489745453056,@FireChiefofHFD @UnivisionNews @HOUPublicSafety Jefe del Depto. de Bomberos de Houston informó de los preparativos… https://t.co/sqJVVt4lZI,http://twitter.com/cohoustonfire/statuses/900816489745453056,2017-08-24 20:26:02+00:00,original_tweet,cohoustonfire,Houston Fire Dept,88957094,288,18495,False,2009-11-10T16:00:10.000Z,"Houston, Texas",photo,"['http://pbs.twimg.com/media/DIBXzOPXkAIBAIZ.jpg', 'http://pbs.twimg.com/media/DIBXzOVWAAEy6gl.jpg', 'http://pbs.twimg.com/media/DIBXzORXoAQUODm.jpg', 'http://pbs.twimg.com/media/DIBXzOjXkAAnmwD.jpg']","Houston, TX",900816489745453
76993,900869185991053312,Timelapse of WP-3D Orion #NOAA42 flying a pass through the eye of #HurricaneHarvey from west to east. Advisories at… https://t.co/LOM5VEsoOP,http://twitter.com/NOAA_HurrHunter/statuses/900869185991053312,2017-08-24 23:55:25+00:00,original_tweet,noaa_hurrhunter,NOAAHurricaneHunters,619247259,218,50713,True,2012-06-26T15:20:33.000Z,"Lakeland, FL",video,['https://video.twimg.com/ext_tw_video/900868933200338944/pu/vid/180x320/ajQ2ULkbNTFmwKHN.mp4'],,900869185991053
86891,900922907890790400,The Weather Service had to add new color to rainfall map to convey incredible amounts poss from #Harvey:… https://t.co/JM2OA7AAxG,http://twitter.com/capitalweather/statuses/900922907890790400,2017-08-25 03:28:54+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,961160,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DIC4ljlXUAA1PWE.jpg'],,900922907890790
33969,901055474078031872,Flight Director Mike Holmes provides the briefing to the crew of #NOAA42. They are departing soon for a flight into… https://t.co/LwHbk3Q1Yc,http://twitter.com/NOAA_HurrHunter/statuses/901055474078031872,2017-08-25 12:15:40+00:00,original_tweet,noaa_hurrhunter,NOAAHurricaneHunters,619247259,218,52626,True,2012-06-26T15:20:33.000Z,"Lakeland, FL",photo,['http://pbs.twimg.com/media/DIExKTPU0AE1K6E.jpg'],,901055474078031
33978,901056381922533382,Dire language from Weather Service office in Corpus Christi regarding effects from #Harvey: https://t.co/0amm43GlGS https://t.co/haUimebmTG,http://twitter.com/capitalweather/statuses/901056381922533382,2017-08-25 12:19:16+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,961409,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DIEx-4qXoAAz8tI.jpg'],,901056381922533
88284,901073853304250368,"A touch of blue in the sky as @TxDOT workers erect the surge wall leading to Port Aransas, TX. The last ferry has d… https://t.co/ZQir2fZASZ",http://twitter.com/WagsPhoto/statuses/901073853304250368,2017-08-25 13:28:42+00:00,original_tweet,wagsphoto,Nick Wagner,250455672,505,560,False,2011-02-11T03:42:57.000Z,Minnesota - Texas,photo,['http://pbs.twimg.com/media/DIFB40vUwAAZsuC.jpg'],,901073853304250
91003,901075442106597377,"933a: Hurricane Harvey within range of radar. Unmistakable eye, & tightly wound bands around it. https://t.co/eOQhqimFsJ",http://twitter.com/capitalweather/statuses/901075442106597377,2017-08-25 13:35:01+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,961449,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",animated_gif,['https://video.twimg.com/tweet_video/DIFDVatXgAIa9Cz.mp4'],,901075442106597
109901,901080888557137920,At the surge wall @TxDOT crews wait for the last ferry crews to exit from Port Aransas before installing the last s… https://t.co/0DkARL0h93,http://twitter.com/WagsPhoto/statuses/901080888557137920,2017-08-25 13:56:39+00:00,original_tweet,wagsphoto,Nick Wagner,250455672,505,560,False,2011-02-11T03:42:57.000Z,Minnesota - Texas,photo,['http://pbs.twimg.com/media/DIFIR-wU0AA3iyx.jpg'],"Aransas Pass, TX",901080888557137
20332,901086946499362816,"Coastal Texas should know risk of ""compound flooding"" from days of storm surge & 15-25"" rain. Massive water buildup… https://t.co/MXT9wFljcJ",http://twitter.com/capitalweather/statuses/901086946499362816,2017-08-25 14:20:44+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,961497,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DIFNyC2WAAQe_oX.jpg'],,901086946499362
11062,901093508840292352,The surge wall has been installed by @TxDOT on TX-361 between Port Aransas and Aransas Pass. #HurricaneHarvey… https://t.co/UsfTiw716D,http://twitter.com/WagsPhoto/statuses/901093508840292352,2017-08-25 14:46:48+00:00,original_tweet,wagsphoto,Nick Wagner,250455672,505,560,False,2011-02-11T03:42:57.000Z,Minnesota - Texas,photo,"['http://pbs.twimg.com/media/DIFTotIUMAY1Yy7.jpg', 'http://pbs.twimg.com/media/DIFTptIVwAAlbGG.jpg', 'http://pbs.twimg.com/media/DIFTrtwUAAEuIiO.jpg', 'http://pbs.twimg.com/media/DIFTruvVoAAfkf5.jpg']",,901093508840292
9411,901113020054745088,#NOAA WP-3D Orion #NOAA42 departing for another mission flight into #HurricaneHarvey. Storm advisories at… https://t.co/m7rhVeMAP8,http://twitter.com/NOAA_HurrHunter/statuses/901113020054745088,2017-08-25 16:04:20+00:00,original_tweet,noaa_hurrhunter,NOAAHurricaneHunters,619247259,218,53135,True,2012-06-26T15:20:33.000Z,"Lakeland, FL",video,['https://video.twimg.com/ext_tw_video/901111451531608064/pu/vid/180x320/veePCyPwiFuYxZ1K.mp4'],,901113020054745
28021,901123004343758849,#Harvey has good chance to end longest recorded 'major' hurricane drought. But wasn't Sandy major? No- we explain:… https://t.co/teyLPQXG12,http://twitter.com/capitalweather/statuses/901123004343758849,2017-08-25 16:44:00+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,961566,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DIFuftPXkAEIH-z.jpg'],,901123004343758
